,exchange_id,ticker,name,sector,industry,country,website
1117,2,KF,"KOREA FUND, INC",Financial Services,Asset Management,United States,http://www.thekoreafund.com
1119,2,KFS,"Kingsway Financial Services, Inc.",Consumer Cyclical,Auto & Truck Dealerships,United States,http://www.kingsway-financial.com
1120,2,KFY,Korn Ferry,Industrials,Staffing & Employment Services,United States,http://www.kornferry.com
1126,2,KGC,Kinross Gold Corporation,Basic Materials,Gold,Canada,http://www.kinross.com
1144,2,KIM,Kimco Realty Corp.,Real Estate,REIT—Retail,United States,http://www.kimcorealty.com
711,2,KIND,"Nextdoor Holdings, Inc.",,,,
1148,2,KIO,KKR INCOME OPPORTUNITIES FUND,,,,
1160,2,KKR,KKR & Co. Inc.,Financial Services,Asset Management,United States,http://www.kkr.com
1161,2,KKRS,KKR Group Finance Co. IX LLC 4.625% Subordinated Notes due 2061,,,,
1162,2,KL,Kirkland Lake Gold Ltd Ordinary,Basic Materials,Gold,Canada,http://www.klgold.com
1167,2,KLR,"Kaleyra, Inc.",Communication Services,Telecom Services,Italy,http://www.kaleyra.com
1170,2,KMB,Kimberly-Clark Corp.,Consumer Defensive,Household & Personal Products,United States,http://www.kimberly-clark.com
1172,2,KMF,"Kayne Anderson NextGen Energy & Infrastructure, Inc.",Financial Services,Asset Management,United States,http://www.kaynefunds.com/kmf/
1178,2,KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,United States,http://www.kindermorgan.com
1180,2,KMPR,Kemper Corporation,Financial Services,Insurance—Property & Casualty,United States,http://www.kemper.com
1185,2,KMT,Kennametal Inc.,Industrials,Tools & Accessories,United States,http://www.kennametal.com
1188,2,KMX,CarMax Inc.,Consumer Cyclical,Auto & Truck Dealerships,United States,http://www.carmax.com
1189,2,KN,KNOWLES CORPORATION,Technology,Communication Equipment,United States,http://www.knowles.com
1085,2,KNOP,KNOT OFFSHORE PARTNERS LP,Industrials,Marine Shipping,United Kingdom,http://www.knotoffshorepartners.com
1100,2,KNX,Knight-Swift Transportation Holdings Inc. Class A Common Stock,Industrials,Trucking,United States,http://knight-swift.com
34,2,KO,Coca-Cola Company,Consumer Defensive,Beverages—Non-Alcoholic,United States,http://www.coca-colacompany.com
1104,2,KODK,EASTMAN KODAK COMPANY,Industrials,Specialty Business Services,United States,http://www.kodak.com
1106,2,KOF,"Coca-Cola FEMSA, S.A.B DE C.V",Consumer Defensive,Beverages—Non-Alcoholic,Mexico,http://www.coca-colafemsa.com
1128,2,KOP,"Koppers Holdings, Inc.",Basic Materials,Specialty Chemicals,United States,http://www.koppers.com
1129,2,KORE,"KORE Group Holdings, Inc.",Financial Services,Shell Companies,United States,http://www.korewireless.com
1130,2,KOS,Kosmos Energy Ltd.,Energy,Oil & Gas E&P,United States,http://www.kosmosenergy.com
1145,2,KR,The Kroger Co.,Consumer Defensive,Grocery Stores,United States,http://www.thekrogerco.com
1149,2,KRA,Kraton Corporation,Basic Materials,Specialty Chemicals,United States,http://www.kraton.com
1153,2,KRC,Kilroy Realty Corp.,Real Estate,REIT—Office,United States,http://www.kilroyrealty.com
1156,2,KREF,KKR Real Estate Finance Trust Inc.,Real Estate,REIT—Mortgage,United States,http://www.kkrreit.com
1158,2,KRG,Kite Realty Group Trust,Real Estate,REIT—Retail,United States,http://www.kiterealty.com
1168,2,KRO,"Kronos Worldwide, Inc.",Basic Materials,Specialty Chemicals,United States,http://kronostio2.com
1171,2,KRP,"Kimbell Royalty Partners, LP Common Units representing Limited Partner Interests",Energy,Oil & Gas E&P,United States,http://www.kimbellrp.com
1192,2,KSM,DWS Strategic Municipal Income Trust,Financial Services,Asset Management,United States,http://fundsus.deutscheam.com/EN/products/deutsche-strategic-municipal-income-trust.jsp?core-key=315
1078,2,KSS,Kohl's Corporation,Consumer Cyclical,Department Stores,United States,http://www.Kohls.com
1081,2,KSU,Kansas City Southern,Industrials,Railroads,United States,http://www.kcsouthern.com
1082,2,KT,KT Corp.,Communication Services,Telecom Services,South Korea,http://www.kt.com
1086,2,KTB,"Kontoor Brands, Inc. Common Stock",Consumer Cyclical,Apparel Manufacturing,United States,http://www.kontoorbrands.com
1099,2,KTF,DWS Municipal Income Trust,Financial Services,Asset Management,United States,http://fundsus.deutscheam.com/EN/products/deutsche-municipal-income-trust.jsp?core-key=309
1102,2,KTH,"Structured Products CorTS PECO Energy Cap Trust III, 8% Cert.",,,,
1116,2,KTN,"Structured Products CorTS Aon Capital A, 8.205% Cert.",,,,
1135,2,KUKE,"Kuke Music Holding Limited American Depositary Shares, each representing one Ordinary Share",Communication Services,Entertainment,China,http://www.kuke.com
1141,2,KW,"KENNEDY-WILSON HOLDINGS, INC.",Real Estate,Real Estate Services,United States,http://www.kennedywilson.com
1143,2,KWAC,Kingswood Acquisition Corp.,,,,
1150,2,KWAC.U,"Kingswood Acquisition Corp. Units, each consisting of one share of Class A Common Stock and three-fo",,,,
2932,2,KWR,Quaker Houghton,Basic Materials,Specialty Chemicals,United States,http://www.quakerchem.com
1181,2,KYN,"Kayne Anderson Energy Infrastructure Fund, Inc.",Financial Services,Asset Management,United States,http://www.kaynefunds.com/kyn/fact-sheet/
1194,2,L,Loews Corporation,Financial Services,Insurance—Property & Casualty,United States,http://www.loews.com
1098,2,LAC,Lithium Americas Corp. Common Shares,Basic Materials,Other Industrial Metals & Mining,Canada,http://www.lithiumamericas.com
1101,2,LAD,"Lithia Motors, Inc.",Consumer Cyclical,Auto & Truck Dealerships,United States,http://www.lithiainvestorrelations.com
1103,2,LADR,LADDER CAPITAL CORP,Real Estate,REIT—Mortgage,United States,http://www.laddercapital.com
1111,2,LAIX,LAIX Inc.,Consumer Defensive,Education & Training Services,China,http://ir.laix.com/investors/our-company/default.aspx
1138,2,LAW,"CS Disco, Inc.",,,,
1151,2,LAZ,Lazard Ltd. Class A,Financial Services,Capital Markets,Bermuda,http://www.lazard.com
1187,2,LBRT,Liberty Oilfield Services Inc. Class A Common Stock,Energy,Oil & Gas Equipment & Services,United States,http://www.libertyfrac.com
1134,2,LC,LendingClub Corporation,Financial Services,Credit Services,United States,http://www.lendingclub.com
712,2,LCI,"Lannett Company, Inc.",Healthcare,Drug Manufacturers—Specialty & Generic,United States,http://www.lannett.com
1191,2,LCII,LCI Industries,Consumer Cyclical,Recreational Vehicles,United States,http://www.lci1.com
1079,2,LCW.U,"Learn CW Investment Corporation Units, each consisting of one Class A ordinary share and one-half of",,,,
1165,2,LDI,"loanDepot, Inc.",Financial Services,Mortgage Finance,United States,http://www.loandepot.com
1164,2,LDOS,"Leidos Holdings, Inc.",Technology,Information Technology Services,United States,http://www.leidos.com
1186,2,LDP,COHEN & STEERS LIMITED DURATION PREFERRED AND INCOME FUND INC,Financial Services,Asset Management,United States,http://www.cohenandsteers.com/funds/details/limited-duration-preferred-and-income-fund
1305,2,LEA,Lear Corporation,Consumer Cyclical,Auto Parts,United States,http://www.lear.com
1306,2,LEAP,"Ribbit LEAP, Ltd.",Financial Services,Shell Companies,United States,http://www.ribbitleap.com
1307,2,LEAP.U,"Ribbit LEAP, Ltd. Units, each consisting of one Class A Ordinary Share, and one fifth of one Warrant",Financial Services,Shell Companies,United States,http://www.ribbitleap.com
1308,2,LEG,"Leggett & Platt, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",United States,http://www.leggett.com
1309,2,LEJU,Leju Holdings Limited,Real Estate,Real Estate Services,China,http://www.leju.com
1310,2,LEN,Lennar Corporation Class A,Consumer Cyclical,Residential Construction,United States,http://www.lennar.com
1311,2,LEN.B,Lennar Corporation Class B,Consumer Cyclical,Residential Construction,United States,http://www.lennar.com
1312,2,LEO,"BNY Mellon Strategic Municipals, Inc.",Financial Services,Asset Management,United States,http://im.bnymellon.com/us/en/intermediary/products/closed-end-funds.jsp
1313,2,LEV,The Lion Electric Company,Industrials,Farm & Heavy Construction Machinery,Canada,http://www.thelionelectric.com
1314,2,LEVI,Levi Strauss & Co. Class A Common Stock,Consumer Cyclical,Apparel Manufacturing,United States,http://www.levistrauss.com
1315,2,LFC,China Life Insurance Company Ltd.,Financial Services,Insurance—Life,China,http://www.e-chinalife.com
1316,2,LFG,Archaea Energy Inc.,Utilities,Utilities—Renewable,United States,http://www.archaeaenergy.com
1317,2,LFT,"Lument Finance Trust, Inc.",Real Estate,REIT—Mortgage,United States,http://lumentfinancetrust.com
1318,2,LGF.A,Lions Gate Entertainment Corp. Class A Voting Shares,Communication Services,Entertainment,United States,http://www.lionsgate.com
1319,2,LGF.B,Lions Gate Entertainment Corp. Class B Non-Voting Shares,Communication Services,Entertainment,United States,http://www.lionsgate.com
1320,2,LGI,Lazard Global Total Return & Income Fund,Financial Services,Asset Management,United States,http://www.lazardnet.com/lam/us/closedfunds_lgi.shtml
1321,2,LGV,Longview Acquisition Corp. II,,,,
1322,2,LGV.U,"Longview Acquisition Corp. II Units, each consisting of one share of Class A Common Stock and one-fi",,,,
1323,2,LH,Laboratory Corporation of America Holdings,Healthcare,Diagnostics & Research,United States,http://www.labcorp.com
1324,2,LHC,Leo Holdings Corp. II,Financial Services,Shell Companies,Bahamas,http://leoholdings.com
1325,2,LHC.U,"Leo Holdings Corp. II Units, each consisting of one Class A ordinary share and one-quarter of one re",Financial Services,Shell Companies,Bahamas,http://leoholdings.com
1326,2,LHX,"L3Harris Technologies, Inc.",Industrials,Aerospace & Defense,United States,http://www.l3harris.com
456,2,LICY,Li-Cycle Holdings Corp.,,,,
1327,2,LII,Lennox International Inc.,Industrials,Specialty Industrial Machinery,United States,http://www.lennoxinternational.com
1328,2,LIN,Linde plc Ordinary Share,Basic Materials,Specialty Chemicals,United Kingdom,http://www.linde.com
1329,2,LITB,"LIGHTINTHEBOX HOLDING CO., LTD.",Consumer Cyclical,Internet Retail,China,http://www.lightinthebox.com
1330,2,LL,"Lumber Liquidators Holdings, Inc.",Consumer Cyclical,Home Improvement Retail,United States,http://www.lumberliquidators.com
1331,2,LLY,Eli Lilly & Co.,Healthcare,Drug Manufacturers—General,United States,http://www.lilly.com
1332,2,LMND,"Lemonade, Inc.",Financial Services,Insurance—Property & Casualty,United States,http://www.lemonade.com
1333,2,LMT,Lockheed Martin Corp.,Industrials,Aerospace & Defense,United States,http://www.lockheedmartin.com
2811,2,LNC,Lincoln National Corp.,Financial Services,Insurance—Life,United States,http://www.lfg.com
1334,2,LND,BrasilAgro - Companhia Brasileira de Propriedades Agra�colas,Consumer Defensive,Farm Products,Brazil,http://www.brasil-agro.com
1335,2,LNFA,L&F Acquisition Corp.,Financial Services,Shell Companies,United States,http://www.lfacquisitioncorp.com
1336,2,LNFA.U,"L&F Acquisition Corp. Units, each consisting of one Class A ordinary share, and one-half of one rede",Financial Services,Shell Companies,United States,http://www.lfacquisitioncorp.com
1337,2,LNN,Lindsay Corporation,Industrials,Farm & Heavy Construction Machinery,United States,http://www.lindsay.com
1338,2,LOCC,Live Oak Crestview Climate Acquisition Corp.,,,,
1339,2,LOCC.U,"Live Oak Crestview Climate Acquisition Corp. Units, each consisting of one share of Class A common s",,,,
713,2,LOCL,Local Bounti Corporation,Consumer Defensive,Farm Products,United States,http://localbounti.com
1340,2,LOKM,Live Oak Mobility Acquisition Corp.,,,,
1341,2,LOKM.U,"Live Oak Mobility Acquisition Corp. Units, each consisting of one share of Class A common stock, and",,,,
1342,2,LOMA,"Loma Negra Compania Industrial Argentina Sociedad Anonima American Depositary Shares (ADSs), each re",Basic Materials,Building Materials,Argentina,http://www.lomanegra.com
1343,2,LOW,Lowe's Companies Inc.,Consumer Cyclical,Home Improvement Retail,United States,http://www.lowes.com
1344,2,LPG,DORIAN LPG LTD,Energy,Oil & Gas Midstream,United States,http://www.dorianlpg.com
1345,2,LPI,"Laredo Petroleum, Inc.",Energy,Oil & Gas E&P,United States,http://www.laredopetro.com
1346,2,LPL,LG Display Co. Ltd.,Technology,Consumer Electronics,South Korea,http://www.lgdisplay.com
1347,2,LPX,Louisiana-Pacific Corp.,Industrials,Building Products & Equipment,United States,http://www.lpcorp.com
464,2,LRN,"Stride, Inc.",Consumer Defensive,Education & Training Services,United States,http://www.stridelearning.com
1348,2,LSI,"Life Storage, Inc.",Real Estate,REIT—Industrial,United States,http://www.lifestorage.com
2812,2,LSPD,Lightspeed Commerce Inc.,Technology,Software—Application,Canada,http://www.lightspeedhq.com
1349,2,LTC,"LTC Properties, Inc.",Real Estate,REIT—Healthcare Facilities,United States,http://www.LTCreit.com
1350,2,LTH,"Life Time Group Holdings, Inc.",Consumer Cyclical,Leisure,United States,http://www.lifetime.life
465,2,LTHM,Livent Corporation,Basic Materials,Specialty Chemicals,United States,http://www.livent.com
1351,2,LU,"Lufax Holding Ltd. American Depositary Shares, two of which representing one Ordinary Share",Financial Services,Credit Services,China,http://www.lufaxholding.com
714,2,LUB,Luby's Inc.,Consumer Cyclical,Restaurants,United States,http://www.lubysinc.com
1352,2,LUMN,"Lumen Technologies, Inc.",Communication Services,Telecom Services,United States,http://www.lumen.com
1353,2,LUV,Southwest Airlines Co.,Industrials,Airlines,United States,http://www.southwest.com
1354,2,LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,United States,http://www.sands.com
2816,2,LW,"Lamb Weston Holdings, Inc.",Consumer Defensive,Packaged Foods,United States,http://www.lambweston.com
1355,2,LXFR,Luxfer Holdings PLC Ordinary Shares,Industrials,Specialty Industrial Machinery,United Kingdom,http://www.luxfer.com
1356,2,LXP,Lexington Realty Trust,Real Estate,REIT—Diversified,United States,http://www.lxp.com
1357,2,LXU,LSB INDUSTRIES INC,Basic Materials,Chemicals,United States,http://www.lsbindustries.com
1358,2,LYB,LyondellBasell Industries N.V. Class A,Basic Materials,Specialty Chemicals,United States,http://www.lyondellbasell.com
1359,2,LYG,Lloyds Banking Group PLC,Financial Services,Banks—Regional,United Kingdom,http://www.lloydsbankinggroup.com
2821,2,LYV,Live Nation Entertainment Inc.,Communication Services,Entertainment,United States,http://www.livenationentertainment.com
1360,2,LZB,La-Z-Boy Incorporated,Consumer Cyclical,"Furnishings, Fixtures & Appliances",United States,http://www.la-z-boy.com
43,2,M,Macy's Inc.,Consumer Cyclical,Department Stores,United States,http://www.macysinc.com
1361,2,MA,Mastercard Incorporated,Financial Services,Credit Services,United States,http://www.mastercard.com
1362,2,MAA,"Mid-America Apartment Communities, Inc.",Real Estate,REIT—Residential,United States,http://www.maac.com
1363,2,MAC,The Macerich Company,Real Estate,REIT—Retail,United States,http://www.macerich.com
1364,2,MACC,Mission Advancement Corp.,,,,
1365,2,MACC.U,"Mission Advancement Corp. Units, each consisting of one share of Class A Common Stock and one-third",,,,
